year,round,event_name,driver_code,team,lap_time_seconds
2022,1,Bahrain Grand Prix,LEC,Ferrari,94.57
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,91.634
2022,3,Australian Grand Prix,LEC,Ferrari,80.26
2022,4,Emilia Romagna Grand Prix,VER,Red Bull Racing,78.446
2022,5,Miami Grand Prix,VER,Red Bull Racing,91.361
2022,6,Spanish Grand Prix,PER,Red Bull Racing,84.108
2022,7,Monaco Grand Prix,NOR,McLaren,74.693
2022,8,Azerbaijan Grand Prix,PER,Red Bull Racing,106.046
2022,9,Canadian Grand Prix,SAI,Ferrari,75.749
2022,10,British Grand Prix,HAM,Mercedes,90.51
2022,11,Austrian Grand Prix,VER,Red Bull Racing,67.275
2022,12,French Grand Prix,SAI,Ferrari,95.781
2022,13,Hungarian Grand Prix,HAM,Mercedes,81.386
2022,14,Belgian Grand Prix,VER,Red Bull Racing,109.354
2022,15,Dutch Grand Prix,VER,Red Bull Racing,73.652
2022,16,Italian Grand Prix,PER,Red Bull Racing,84.03
2022,17,Singapore Grand Prix,RUS,Mercedes,106.458
2022,18,Japanese Grand Prix,ZHO,Alfa Romeo,104.411
2022,19,United States Grand Prix,RUS,Mercedes,98.788
2022,20,Mexico City Grand Prix,RUS,Mercedes,80.153
