year,round,event_name,country,date
2022,1,Bahrain Grand Prix,Bahrain,2022-03-20
2022,2,Saudi Arabian Grand Prix,Saudi Arabia,2022-03-27
2022,3,Australian Grand Prix,Australia,2022-04-10
2022,4,Emilia Romagna Grand Prix,Italy,2022-04-24
2022,5,Miami Grand Prix,United States,2022-05-08
2022,6,Spanish Grand Prix,Spain,2022-05-22
2022,7,Monaco Grand Prix,Monaco,2022-05-29
2022,8,Azerbaijan Grand Prix,Azerbaijan,2022-06-12
2022,9,Canadian Grand Prix,Canada,2022-06-19
2022,10,British Grand Prix,Great Britain,2022-07-03
2022,11,Austrian Grand Prix,Austria,2022-07-10
2022,12,French Grand Prix,France,2022-07-24
2022,13,Hungarian Grand Prix,Hungary,2022-07-31
2022,14,Belgian Grand Prix,Belgium,2022-08-28
2022,15,Dutch Grand Prix,Netherlands,2022-09-04
2022,16,Italian Grand Prix,Italy,2022-09-11
2022,17,Singapore Grand Prix,Singapore,2022-10-02
2022,18,Japanese Grand Prix,Japan,2022-10-09
2022,19,United States Grand Prix,United States,2022-10-23
2022,20,Mexico City Grand Prix,Mexico,2022-10-30
2022,21,São Paulo Grand Prix,Brazil,2022-11-13
2022,22,Abu Dhabi Grand Prix,Abu Dhabi,2022-11-20
2023,1,Bahrain Grand Prix,Bahrain,2023-03-05
2023,2,Saudi Arabian Grand Prix,Saudi Arabia,2023-03-19
2023,3,Australian Grand Prix,Australia,2023-04-02
2023,4,Azerbaijan Grand Prix,Azerbaijan,2023-04-30
2023,5,Miami Grand Prix,United States,2023-05-07
2023,6,Monaco Grand Prix,Monaco,2023-05-28
2023,7,Spanish Grand Prix,Spain,2023-06-04
2023,8,Canadian Grand Prix,Canada,2023-06-18
2023,9,Austrian Grand Prix,Austria,2023-07-02
2023,10,British Grand Prix,Great Britain,2023-07-09
2023,11,Hungarian Grand Prix,Hungary,2023-07-23
2023,12,Belgian Grand Prix,Belgium,2023-07-30
2023,13,Dutch Grand Prix,Netherlands,2023-08-27
2023,14,Italian Grand Prix,Italy,2023-09-03
2023,15,Singapore Grand Prix,Singapore,2023-09-17
2023,16,Japanese Grand Prix,Japan,2023-09-24
2023,17,Qatar Grand Prix,Qatar,2023-10-08
2023,18,United States Grand Prix,United States,2023-10-22
2023,19,Mexico City Grand Prix,Mexico,2023-10-29
2023,20,São Paulo Grand Prix,Brazil,2023-11-05
2023,21,Las Vegas Grand Prix,United States,2023-11-18
2023,22,Abu Dhabi Grand Prix,Abu Dhabi,2023-11-26
2024,1,Bahrain Grand Prix,Bahrain,2024-03-02
2024,2,Saudi Arabian Grand Prix,Saudi Arabia,2024-03-09
2024,3,Australian Grand Prix,Australia,2024-03-24
2024,4,Japanese Grand Prix,Japan,2024-04-07
2024,5,Chinese Grand Prix,China,2024-04-21
2024,6,Miami Grand Prix,United States,2024-05-05
2024,7,Emilia Romagna Grand Prix,Italy,2024-05-19
2024,8,Monaco Grand Prix,Monaco,2024-05-26
2024,9,Canadian Grand Prix,Canada,2024-06-09
2024,10,Spanish Grand Prix,Spain,2024-06-23
2024,11,Austrian Grand Prix,Austria,2024-06-30
2024,12,British Grand Prix,United Kingdom,2024-07-07
2024,13,Hungarian Grand Prix,Hungary,2024-07-21
2024,14,Belgian Grand Prix,Belgium,2024-07-28
2024,15,Dutch Grand Prix,Netherlands,2024-08-25
2024,16,Italian Grand Prix,Italy,2024-09-01
2024,17,Azerbaijan Grand Prix,Azerbaijan,2024-09-15
2024,18,Singapore Grand Prix,Singapore,2024-09-22
2024,19,United States Grand Prix,United States,2024-10-20
2024,20,Mexico City Grand Prix,Mexico,2024-10-27
2024,21,São Paulo Grand Prix,Brazil,2024-11-03
2024,22,Las Vegas Grand Prix,United States,2024-11-23
2024,23,Qatar Grand Prix,Qatar,2024-12-01
2024,24,Abu Dhabi Grand Prix,United Arab Emirates,2024-12-08
